epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,16.2323,0.64183,0.91984,0.92198,0.99289,1,0.995,0.85648,0.56603,1.33909,0.85626,0.0009506,0.0009506,0.0009506
55,16.5211,0.57683,0.8354,0.87746,0.99289,1,0.995,0.85648,0.56603,1.33909,0.85626,0.0009308,0.0009308,0.0009308
56,16.8093,0.58172,0.8405,0.83158,0.99446,1,0.995,0.88595,0.5447,1.25244,0.85436,0.000911,0.000911,0.000911
57,17.1018,0.61677,0.87482,0.87537,0.99446,1,0.995,0.88595,0.5447,1.25244,0.85436,0.0008912,0.0008912,0.0008912
58,17.4099,0.58846,0.89968,0.8831,0.99619,1,0.995,0.89656,0.47667,1.07275,0.83414,0.0008714,0.0008714,0.0008714
59,17.7038,0.60676,0.75703,0.85661,0.99619,1,0.995,0.89656,0.47667,1.07275,0.83414,0.0008516,0.0008516,0.0008516
60,17.999,0.63035,0.81626,0.91902,0.99676,1,0.995,0.87934,0.52031,0.95245,0.84701,0.0008318,0.0008318,0.0008318
61,18.2821,0.53278,0.75246,0.88812,0.99676,1,0.995,0.87934,0.52031,0.95245,0.84701,0.000812,0.000812,0.000812
62,18.5712,0.61923,0.9079,0.89054,0.99709,1,0.995,0.8693,0.54906,0.93219,0.85759,0.0007922,0.0007922,0.0007922
63,18.9173,0.63305,0.80599,0.89329,0.99709,1,0.995,0.8693,0.54906,0.93219,0.85759,0.0007724,0.0007724,0.0007724
64,19.2077,0.58494,0.88988,0.88226,0.99695,1,0.995,0.86384,0.51592,0.9965,0.85275,0.0007526,0.0007526,0.0007526
65,19.4945,0.52361,0.86147,0.85733,0.99695,1,0.995,0.86384,0.51592,0.9965,0.85275,0.0007328,0.0007328,0.0007328
66,19.7861,0.61982,0.82975,0.93037,0.9974,1,0.995,0.85826,0.54988,1.03951,0.8621,0.000713,0.000713,0.000713
67,20.0669,0.54538,0.79026,0.87287,0.9974,1,0.995,0.85826,0.54988,1.03951,0.8621,0.0006932,0.0006932,0.0006932
68,20.3544,0.52534,0.79589,0.84828,0.9977,1,0.995,0.84635,0.59961,1.02249,0.87454,0.0006734,0.0006734,0.0006734
69,20.6379,0.53344,0.71743,0.82123,0.9977,1,0.995,0.84635,0.59961,1.02249,0.87454,0.0006536,0.0006536,0.0006536
70,20.9281,0.53885,0.79375,0.86454,0.99746,1,0.995,0.86176,0.58195,0.91779,0.87022,0.0006338,0.0006338,0.0006338
71,21.2119,0.56734,0.74984,0.92882,0.99746,1,0.995,0.86176,0.58195,0.91779,0.87022,0.000614,0.000614,0.000614
72,21.5011,0.60517,0.81687,0.90669,0.99739,1,0.995,0.89267,0.48839,0.83463,0.84533,0.0005942,0.0005942,0.0005942
73,21.7852,0.5443,0.73547,0.85835,0.99739,1,0.995,0.89267,0.48839,0.83463,0.84533,0.0005744,0.0005744,0.0005744
74,22.1327,0.56212,0.75756,0.88647,0.99704,1,0.995,0.93745,0.37033,0.77818,0.81704,0.0005546,0.0005546,0.0005546
75,22.4319,0.52162,0.76366,0.85056,0.99704,1,0.995,0.93745,0.37033,0.77818,0.81704,0.0005348,0.0005348,0.0005348
76,22.7298,0.58953,0.72384,0.85696,0.99727,1,0.995,0.9548,0.36934,0.77349,0.81418,0.000515,0.000515,0.000515
77,23.0219,0.48171,0.69979,0.83415,0.99727,1,0.995,0.9548,0.36934,0.77349,0.81418,0.0004952,0.0004952,0.0004952
78,23.3292,0.4252,0.63159,0.78746,0.99733,1,0.995,0.92372,0.37904,0.75681,0.81338,0.0004754,0.0004754,0.0004754
79,23.6272,0.53754,0.79878,0.88157,0.99733,1,0.995,0.92372,0.37904,0.75681,0.81338,0.0004556,0.0004556,0.0004556
80,23.9339,0.43575,0.73831,0.86371,0.99743,1,0.995,0.92586,0.38235,0.7668,0.81252,0.0004358,0.0004358,0.0004358
81,24.2361,0.55035,0.75953,0.85522,0.99743,1,0.995,0.92586,0.38235,0.7668,0.81252,0.000416,0.000416,0.000416
82,24.5476,0.46489,0.82777,0.84971,0.9973,1,0.995,0.91918,0.37206,0.78705,0.81071,0.0003962,0.0003962,0.0003962
83,24.8474,0.50937,0.74502,0.89284,0.9973,1,0.995,0.91918,0.37206,0.78705,0.81071,0.0003764,0.0003764,0.0003764
84,25.1542,0.47609,0.68779,0.84045,0.99751,1,0.995,0.9344,0.3566,0.77107,0.81129,0.0003566,0.0003566,0.0003566
85,25.4531,0.46128,0.68751,0.8219,0.99751,1,0.995,0.9344,0.3566,0.77107,0.81129,0.0003368,0.0003368,0.0003368
86,25.8165,0.50578,0.67606,0.83125,0.99762,1,0.995,0.92074,0.35092,0.74301,0.81247,0.000317,0.000317,0.000317
87,26.1125,0.44853,0.7998,0.83704,0.99762,1,0.995,0.92074,0.35092,0.74301,0.81247,0.0002972,0.0002972,0.0002972
88,26.4215,0.4568,0.68825,0.83634,0.99763,1,0.995,0.92271,0.37728,0.71191,0.81591,0.0002774,0.0002774,0.0002774
89,26.7235,0.41023,0.70719,0.85059,0.99763,1,0.995,0.92271,0.37728,0.71191,0.81591,0.0002576,0.0002576,0.0002576
90,27.0298,0.40457,0.69849,0.84917,0.99771,1,0.995,0.91708,0.38553,0.70277,0.81566,0.0002378,0.0002378,0.0002378
91,27.6657,0.41793,0.82112,0.80733,0.99771,1,0.995,0.91708,0.38553,0.70277,0.81566,0.000218,0.000218,0.000218
92,28.0143,0.42802,0.82463,0.81825,0.9978,1,0.995,0.92674,0.36792,0.6935,0.81227,0.0001982,0.0001982,0.0001982
93,28.3161,0.40242,0.7844,0.8485,0.9978,1,0.995,0.92674,0.36792,0.6935,0.81227,0.0001784,0.0001784,0.0001784
94,28.6214,0.44447,0.8017,0.86321,0.99777,1,0.995,0.93355,0.35467,0.69467,0.80972,0.0001586,0.0001586,0.0001586
95,28.9242,0.33138,0.71535,0.79797,0.99777,1,0.995,0.93355,0.35467,0.69467,0.80972,0.0001388,0.0001388,0.0001388
96,29.2309,0.39869,0.76715,0.8444,0.99779,1,0.995,0.93332,0.34349,0.69942,0.80762,0.000119,0.000119,0.000119
97,29.6117,0.38807,0.79229,0.84547,0.99779,1,0.995,0.93332,0.34349,0.69942,0.80762,9.92e-05,9.92e-05,9.92e-05
98,29.9159,0.38915,0.78787,0.8173,0.99777,1,0.995,0.93796,0.33142,0.70165,0.80577,7.94e-05,7.94e-05,7.94e-05
99,30.2105,0.41224,0.77238,0.82544,0.99777,1,0.995,0.93796,0.33142,0.70165,0.80577,5.96e-05,5.96e-05,5.96e-05
100,30.5174,0.35648,0.73974,0.8145,0.99777,1,0.995,0.93372,0.32332,0.70091,0.80417,3.98e-05,3.98e-05,3.98e-05
